Track name,Artist name,Album,Playlist name,Type,ISRC
"1991 - The People (D & B Mix)","","","DnB Heavy","Playlist",""
"Phibes - Started This Fire (Original Mix)","","","DnB Heavy","Playlist",""
"Document One · Levela - Steppa","","","DnB Heavy","Playlist",""
"Culture Shock - Get Physical","","","DnB Heavy","Playlist",""
"Delta Heavy - Kill Room","","","DnB Heavy","Playlist",""
"Culture Shock · Sub Focus - Recombine","","","DnB Heavy","Playlist",""
"Delta Heavy · Muzzy - Revenge","","","DnB Heavy","Playlist",""
"Witters - Calibrate","","","DnB Heavy","Playlist",""
"Calyx & TeeBee - The Fog","","","DnB Heavy","Playlist",""
"Kasra · Slay - Let It Slide","","","DnB Heavy","Playlist",""
"Delta Heavy - The World Is Yours","","","DnB Heavy","Playlist",""
"Dimension - Techno","","","DnB Heavy","Playlist",""
"Metrik · Grafix - Overdrive","","","DnB Heavy","Playlist",""
"Camo & Krooked · Tasha Baxter · Signal · IMANU - Black or White (feat. Tasha Baxter) (IMANU/Signal Remix)","","","DnB Heavy","Playlist",""
"DC Breaks - Halo","","","DnB Heavy","Playlist",""
"Kanine · T-Man · Fergus Bossert · Turner Gresham · Fergus Bossert · Turner Gresham - All Goes Wrong","","","DnB Heavy","Playlist",""
"ShockOne - Follow Me (Blanke Remix)","","","DnB Heavy","Playlist",""
"Sub Focus - Timewarp (Dimension Remix)","","","DnB Heavy","Playlist",""
"Document One · A Little Sound · Matt King · Joe Froud · Abigail Kate Morgan - Back To Me","","","DnB Heavy","Playlist",""
"Calyx & TeeBee - Caution (ft. Ben Verse)","","","DnB Heavy","Playlist",""
"Apashe · Buunshin - Distance (Buunshin Remix)","","","DnB Heavy","Playlist",""
"DC Breaks · A.M.C · Turno - Vendetta (A.M.C & Turno Remix)","","","DnB Heavy","Playlist",""
"Muzzy - Crescendo (feat. MYLK)","","","DnB Heavy","Playlist",""
"BLVCK CROWZ · Luke Madness - MOONLOVE","","","DnB Heavy","Playlist",""
"InsideInfo · Mefjus - Mythos","","","DnB Heavy","Playlist",""
"BLVCK CROWZ - ALL FALLS DOWN","","","DnB Heavy","Playlist",""
"BLVCK CROWZ · Eskei83 - TAKING IT HIGHER","","","DnB Heavy","Playlist",""
"Tantrum Desire - Vybez","","","DnB Heavy","Playlist",""
"Dimension · Culture Shock - Don’t Sleep","","","DnB Heavy","Playlist",""
"Metrik - Automata","","","DnB Heavy","Playlist",""
"Document One - Holy Moly","","","DnB Heavy","Playlist",""
"Harriet Jaxxon - The Sound","","","DnB Heavy","Playlist",""
"Tantrum Desire - Unleashed","","","DnB Heavy","Playlist",""
"Flowidus · Trei · Linguistics - Don't Breathe In","","","DnB Heavy","Playlist",""
"Noisia and The Upbeats - Dead Limit","","","DnB Heavy","Playlist",""
"Drumsound · Bassline Smith · Teddy Killerz - Metal and Blood","","","DnB Heavy","Playlist",""
"Teddy Killerz - Quasar","","","DnB Heavy","Playlist",""
"Teddy Killerz · Celldweller - Clone","","","DnB Heavy","Playlist",""
"Pythius - Burn 'Em Down","","","DnB Heavy","Playlist",""
"Pythius · Coppa - Hand Grenade","","","DnB Heavy","Playlist",""
"Black Sun Empire · State Of Mind - Pull the Trigger","","","DnB Heavy","Playlist",""
"Black Sun Empire · State Of Mind - Ego","","","DnB Heavy","Playlist",""
"Black Sun Empire · State Of Mind - Caterpillar (Drumsound & Bassline Smith Remix)","","","DnB Heavy","Playlist",""
"Current Value · Screamarts - Knock Knock","","","DnB Heavy","Playlist",""
"Neonlight · Receptor - 800-Pound Gorilla (2020 Remaster)","","","DnB Heavy","Playlist",""
"Kanine · Fergus Bossert · Fergus Bossert - Higher","","","DnB Heavy","Playlist",""
"Culture Shock - Pandemic","","","DnB Heavy","Playlist",""
"Hybrid Minds · Catching Cairo · Signal - Listen (feat. Catching Cairo) (Signal Remix)","","","DnB Heavy","Playlist",""
"Culture Shock - Steam Machine","","","DnB Heavy","Playlist",""
"Drumsound & Bassline Smith - Galaxy Dub","","","DnB Heavy","Playlist",""
"Deekline · Ed Solo · Kalum · Kalum - I Need A Dollar (Kalum Remix)","","","DnB Heavy","Playlist",""
"Dimension - Whip Slap","","","DnB Heavy","Playlist",""
"DJ Hazard · D Minds - Mr Happy","","","DnB Heavy","Playlist",""
"Metrik - Solar","","","DnB Heavy","Playlist",""
"Misanthrop - Alert","","","DnB Heavy","Playlist",""
"Luude · Dear Sunday · Moss - Wanna Stay (feat. Dear Sunday) (Moss Extended Remix)","","","DnB Heavy","Playlist",""
"Pendulum · Bullet For My Valentine · Urbandawn - Halo (Urbandawn Remix)","","","DnB Heavy","Playlist",""
"Grafix · Flowidus - Submarine","","","DnB Heavy","Playlist",""
"Metrik · Grafix - Parallel","","","DnB Heavy","Playlist",""
"Pythius · flowanastasia - Wide Awake","","","DnB Heavy","Playlist",""
"Black Sun Empire · Pythius - Scarif","","","DnB Heavy","Playlist",""
"Pythius - BBT","","","DnB Heavy","Playlist",""
"Circadian - Body Work","","","DnB Heavy","Playlist",""
"Sota · Circadian · Mila Falls - Mesmer","","","DnB Heavy","Playlist",""
"Basstripper - In The City","","","DnB Heavy","Playlist",""
"Rockwell - Vent (Original Mix)","","","DnB Heavy","Playlist",""
"Culture Shock - Get Physical","","","DnB Heavy","Playlist",""
"Grafix - Dance All Day","","","DnB Heavy","Playlist",""
"Odd Mob · Subsonic - LEFT TO RIGHT (Subsonic Remix)","","","DnB Heavy","Playlist",""
"Tantrum Desire - Cluster","","","DnB Heavy","Playlist",""
"Venjent - Flowin' with the Vibe","","","DnB Heavy","Playlist",""
"Friction - Supersonic (Basstripper Remix)","","","DnB Heavy","Playlist",""
"Camo & Krooked · Mefjus · Joe Killington - Pray For Me (feat. Joe Killington)","","","DnB Heavy","Playlist",""
"Andromedik · MC Stretch - To The Dark","","","DnB Heavy","Playlist",""
"Kanine - Set It Off","","","DnB Heavy","Playlist",""
"Venjent - Laser Grave","","","DnB Heavy","Playlist",""
"Loadstar - Run Down (Control)","","","DnB Heavy","Playlist",""
"Kanine - Get Down","","","DnB Heavy","Playlist",""
"Metrik - Thunderblade","","","DnB Heavy","Playlist",""
"Pythius · REEBZ - In My Head","","","DnB Heavy","Playlist",""
"Fred again.. · Baby Keem - leavemealone","","","DnB Heavy","Playlist",""
"The Prodigy - Timebomb Zone","","","DnB Heavy","Playlist",""
"Smooth - Trajectory","","","DnB Heavy","Playlist",""
"Culture Shock - Neighbourhood","","","DnB Heavy","Playlist",""
"Delta Heavy - Ecstasy","","","DnB Heavy","Playlist",""
"Camo & Krooked · Tiga · Zyntherius - Sunglasses At Night","","","DnB Heavy","Playlist",""
"Metrik · Rou Reynolds · Filthy Pig · Enter Shikari - Hole","","","DnB Heavy","Playlist",""
"Pendulum - Driver","","","DnB Heavy","Playlist",""
