Track name,Artist name,Album,Playlist name,Type,ISRC
"Kygo · Conrad Sewell - Firestone","","","EDM Chill Pop","Playlist",""
"The Chainsmokers · ROZES - Roses","","","EDM Chill Pop","Playlist",""
"Kygo · Ella Henderson - Here for You","","","EDM Chill Pop","Playlist",""
"Parra for Cuva · Anna Naklab - Wicked Games (feat. Anna Naklab) (Radio Edit)","","","EDM Chill Pop","Playlist",""
"Lykke Li - I Follow Rivers (The Magician Remix)","","","EDM Chill Pop","Playlist",""
"ODESZA · Naomi Wild - Higher Ground (feat. Naomi Wild)","","","EDM Chill Pop","Playlist",""
"Coldplay - A Sky Full of Stars","","","EDM Chill Pop","Playlist",""
"MBNN & Rowald Steyn - ilomilo (Billie Eilish)","","","EDM Chill Pop","Playlist",""
"Reflekt · Delline Bass - Need To Feel Loved (Adam K & Soha Vocal Mix)","","","EDM Chill Pop","Playlist",""
"RÜFÜS DU SOL - You Were Right","","","EDM Chill Pop","Playlist",""
"Children (Edit Mix)","","","EDM Chill Pop","Playlist",""
"Elderbrook · Tourist - Howl","","","EDM Chill Pop","Playlist",""
"Elderbrook - Old Friend","","","EDM Chill Pop","Playlist",""
"Bob Moses - Hanging On","","","EDM Chill Pop","Playlist",""
"Shallou - Save Some Room","","","EDM Chill Pop","Playlist",""
"Lane 8 · Arctic Lake - Road","","","EDM Chill Pop","Playlist",""
"Shallou · ayokay - Us","","","EDM Chill Pop","Playlist",""
"ZHU · Kasbo · Yuna - Sky Is Crying (Kasbo Remix)","","","EDM Chill Pop","Playlist",""
"nimino - I Only Smoke When I Drink","","","EDM Chill Pop","Playlist",""
"BUNT. - Crown","","","EDM Chill Pop","Playlist",""
"Zakes Bantwini · Kasango - Osama","","","EDM Chill Pop","Playlist",""
"Night Tales - Lovesong","","","EDM Chill Pop","Playlist",""
