Track name,Artist name,Album,Playlist name,Type,ISRC
"Moby - Porcelain","","","EDM Chill","Playlist",""
"Alan Walker - Faded","","","EDM Chill","Playlist",""
"Surf Mesa · Emilee - ily (i love you baby)","","","EDM Chill","Playlist",""
"Massive Attack · Elizabeth Fraser - Teardrop","","","EDM Chill","Playlist",""
"Jan Blomqvist · The Bianca Story - Dancing People Are Never Wrong","","","EDM Chill","Playlist",""
"Jan Blomqvist - Synth For The Devil","","","EDM Chill","Playlist",""
"Jan Blomqvist · Aparde - Drift","","","EDM Chill","Playlist",""
"Ben Böhmer · Jonah - Hunting","","","EDM Chill","Playlist",""
"R. Armando Morabito - Angel (Official Audio) ft. Julie Elven","","","EDM Chill","Playlist",""
"Eli & Fur - Fire To Fire","","","EDM Chill","Playlist",""
"Eli & Fur - Otherside (Nils Hoffmann Remix)","","","EDM Chill","Playlist",""
"Booka Shade · Eli & Fur · Walter Merziger · Arno Kammermeier · Eliza Dodd-Noble · Jennifer Milne-Skillman · Walter Merziger · Arno Kammermeier · Eliza Dodd-Noble · Jennifer Milne-Skillman · Einmusik · Ben BöhmerEinmusik · Einmusik - To the Sea (Einmusik Remix)","","","EDM Chill","Playlist",""
"Max Cooper - Perpetual Motion","","","EDM Chill","Playlist",""
"Ben Böhmer - Beyond Beliefs","","","EDM Chill","Playlist",""
"The Blaze - LULLABY","","","EDM Chill","Playlist",""
"Hosini - Flyga","","","EDM Chill","Playlist",""
"TWO LANES - Searching","","","EDM Chill","Playlist",""
"Polar Inc. - Regal","","","EDM Chill","Playlist",""
"Feder · Lyse - Goodbye (feat. Lyse) (Radio Edit)","","","EDM Chill","Playlist",""
"NTO · Sofiane Pamart - Explore Yourself","","","EDM Chill","Playlist",""
"Jon Hopkins - Dawn Chorus","","","EDM Chill","Playlist",""
"Manic Focus - Buoyant","","","EDM Chill","Playlist",""
"Bonobo - Silver","","","EDM Chill","Playlist",""
"Radiohead - Everything In Its Right Place","","","EDM Chill","Playlist",""
"Bob Moses - Tearing Me Up (RAC Mix)","","","EDM Chill","Playlist",""
"Lynnic · ItsArius · Dinia - With You (Afro House Extended Mix)","","","EDM Chill","Playlist",""
"Jon Hopkins - Sleepwalker","","","EDM Chill","Playlist",""
