Track name,Artist name,Album,Playlist name,Type,ISRC
"The Crystal Method · Wenzday - Chemical Mentalist","","","EDM Slow Aggressive","Playlist",""
"Enamour - Catalyst","","","EDM Slow Aggressive","Playlist",""
"The Crystal Method · Hyper · Iggy Pop - Post Punk","","","EDM Slow Aggressive","Playlist",""
"Disclosure - Help Me Lose My Mind (Mazde Remix)","","","EDM Slow Aggressive","Playlist",""
"Mord Fustang - Windwaker (Original Mix)","","","EDM Slow Aggressive","Playlist",""
"Mord Fustang - Lick The Rainbow (Original Mix)","","","EDM Slow Aggressive","Playlist",""
"Mord Fustang - The Electric Dream (Original Mix)","","","EDM Slow Aggressive","Playlist",""
"Wolfgang Gartner - Wolfgang's 5th Symphony","","","EDM Slow Aggressive","Playlist",""
"deadmau5 · Wolfgang Gartner - Animal Rights","","","EDM Slow Aggressive","Playlist",""
"Knife Party - Internet Friends","","","EDM Slow Aggressive","Playlist",""
"deadmau5 · Rob Swire - Ghosts 'n' Stuff","","","EDM Slow Aggressive","Playlist",""
"deadmau5 - Strobe","","","EDM Slow Aggressive","Playlist",""
"deadmau5 · SOFI - SOFI Needs A Ladder","","","EDM Slow Aggressive","Playlist",""
"deadmau5 - Some Chords","","","EDM Slow Aggressive","Playlist",""
"Ghost Data · Kindrid - The Twisted Spire","","","EDM Slow Aggressive","Playlist",""
"Extra Terra - Agent Smith","","","EDM Slow Aggressive","Playlist",""
"Lick - REBEL","","","EDM Slow Aggressive","Playlist",""
"Muzzy - Endgame","","","EDM Slow Aggressive","Playlist",""
"CloZee - Arena","","","EDM Slow Aggressive","Playlist",""
"Above & Beyond · Zoë Johnston - You Got To Go (Seven Lions Remix)","","","EDM Slow Aggressive","Playlist",""
"Breathe Carolina · Shanahan · Haliene - Stars & Moon (Xilent Remix)","","","EDM Slow Aggressive","Playlist",""
"Dakku - Anyway","","","EDM Slow Aggressive","Playlist",""
"Hyper - Spoiler (Original Mix)","","","EDM Slow Aggressive","Playlist",""
"Gorgon City - One New Change","","","EDM Slow Aggressive","Playlist",""
"Mat Zo & Arty - Mozart (Radio Edit)","","","EDM Slow Aggressive","Playlist",""
"Buku - Front To Back (Bassnectar Extended Remix)","","","EDM Slow Aggressive","Playlist",""
"Buku - Front To Back","","","EDM Slow Aggressive","Playlist",""
