Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
A Windmill in Old Amsterdam,"Ronnie Hilton","Pure 60s","Junior choice Volume 3","Playlist","GBAYE6400470","7BWMWhcNkr5HVRjRQnxDyk"
Right Said Fred,"Bernard Cribbins","The Very Best Of Bernard Cribbins","Junior choice Volume 3","Playlist","GBAYE6200027","6VFjmRXlio2SC641BMOgkv"
Babysitter-Boogie,"Ralf Bendix","Babysitter-Boogie","Junior choice Volume 3","Playlist","DEG411297301","3A0zKda9qiZohavZQ9bQC4"
Soldier, Won't You Marry Me,"Jimmie Rodgers","Jimmie Rodgers Sings Folk Songs","Junior choice Volume 3","Playlist","GBLGL0835261","5eMq622k2rVnoIs0Ab6dYb"
Bangers and Mash,"Peter Sellers","The Peter Sellers Collection","Junior choice Volume 3","Playlist","GBAYE6000351","2TubHGbeoRc9l3lDx5hlsP"
Hello My Darlings,"Charlie Drake","You're Having A Laugh","Junior choice Volume 3","Playlist","GBHFE0627476","6jRwlDWht3QMapUP5Lfqkp"
Baby Sittin' Boogie - Radio Version,"Buzz Clifford","Best of Rock 'n' Roll Music: 100 Originals from the 50s & 60s","Junior choice Volume 3","Playlist","DEAR41442794","4HioHFy6TTtYRmyY7PpH9y"
You're The One That I Want - From "Grease" Original Motion Picture Soundtrack,"John Travolta","Grease (Limited Edition)","Junior choice Volume 3","Playlist","NLF057890004","2pA1xHmhDxle8pPhhIaWCp"
Does Your Chewing Gum Lose It's Flavour,"Lonnie Donegan","My Old Man's A Dustman - The Singles As & Bs 1954 - 1961","Junior choice Volume 3","Playlist","GBDAG1205483","1hEwv5lSUVyOODXNobqucz"
Any Old Iron,"Peter Sellers","The Peter Sellers Collection","Junior choice Volume 3","Playlist","GBAYE5700169","0XOhWdYafx7UfHq9wx8gmh"
The Hole in the Ground,"Bernard Cribbins","The Very Best Of Bernard Cribbins","Junior choice Volume 3","Playlist","GBAYE6200253","6jUfrV93ZxSX2HMrhtxiDj"
Tie Me Kangaroo Down Sport,"Rolf Harris","Ideal","Junior choice Volume 3","Playlist","GBAYE6000076","2QZkZoTKqmWnspy2RRHKHt"
Goodness Gracious Me,"Peter Sellers","The Peter Sellers Collection","Junior choice Volume 3","Playlist","GBAYE6000267","25ugs847R7mFQvHYfNXqaO"
You Need Feet,"Bernard Bresslaw","Classic British Comedy & Humor","Junior choice Volume 3","Playlist","QMFMG1304224","1KsDZndv0koFmozwLbH7cU"
Splish Splash,"Charlie Drake","Parlophone Originals: The 60's","Junior choice Volume 3","Playlist","GBAYE5800048","2KAwYzej04GaMQwbh5zaaA"
My Old Man's a Dustman,"Lonnie Donegan","Masterpieces Presents Lonnie Donegan: Hits & Rarities, Vol. 2 (48 Country Songs)","Junior choice Volume 3","Playlist","DEF161443007","2km7zgwEBJaQVgsn2mvHMK"
There's No One Quite Like Grandma - 2003 Remaster,"St. Winifred's School Choir","Original Hits - Kids","Junior choice Volume 3","Playlist","GBAYE0302369","0UNY0K1lV0zALMFwv1mp3f"
A Hard Day's Night,"Peter Sellers","The Peter Sellers Collection","Junior choice Volume 3","Playlist","GBAYE6500432","1ZmFu9kYqb0xduu4UGy7ss"
Ragtime Cowboy Joe,"Alvin & The Chipmunks","Let's All Sing With The Chipmunks","Junior choice Volume 3","Playlist","USEM39100318","0vpA8mETso7LKhIddYOVkj"
Beep Beep,"The Playmates","The Roulette Story","Junior choice Volume 3","Playlist","GBAYE5800128","2HgyHjIYqPbnxkha7vM3de"
The Runaway Train,"Songs For Children","The Runaway Train & The Animals Went in Two by Two","Junior choice Volume 3","Playlist","GBQRF0821927","2kUWnj3PdtfErSPHMZLMv7"
